Coef	Estimate S	td.Error z-	value Pr	(>|z|)	Sig
(Intercept)	-1.289216	0.2839758	-4.54	5.63E-06	***
WC_c	0.0011353	0.0003284	3.457	0.000546	***
WPS_c	0.0134111	0.008869	1.512	0.130501	
adj_c	0.0555444	0.0210775	2.635	0.008408	**
work_c	0.0540396	0.0198465	2.723	0.006472	**
negate_c	0.062991	0.0357629	1.761	0.078179	.
Qmark_c	-0.297579	0.0716408	-4.154	3.27E-05	***
certain_c	-0.1130254	0.0474634	-2.381	0.017251	*
reward_c	-0.1010031	0.0491093	-2.057	0.039715	*
PC1	-0.1223023	0.0383318	-3.191	0.00142	**
PC2	0.1232488	0.0650632	1.894	0.058186	.
